dep_iata,airport_name,arr_iata
AYR,Ayr Airport,AYR
AYS,Waycross Ware County Airport,AYS
AYT,Antalya International Airport,AYT
AYU,Aiyura Airport,AYU
AYW,Ayawasi Airport,AYW
AYX,Teniente General Gerardo PÃ©rez Pinedo Airport,AYX
AYY,Arugam Bay SPB,AYY
AYZ,Zahn's Airport,AYZ
AZA,Phoenix-Mesa-Gateway Airport,AZA
AZB,Amazon Bay Airport,AZB
AZD,Shahid Sadooghi Airport,AZD
AZG,Pablo L. Sidar Airport,AZG
AZI,Bateen Airport,AZI
AZL,Fazenda TucunarÃ© Airport,AZL
AZN,Andizhan Airport,AZN
AZO,Kalamazoo Battle Creek International Airport,AZO
AZP,Atizapan De Zaragoza Airport,AZP
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,AZR
AZS,SamanÃ¡ El Catey International Airport,AZS
AZT,Zapatoca Airport,AZT
AZZ,Ambriz Airport,AZZ
BAA,Bialla Airport,BAA
BAB,Beale Air Force Base,BAB
BAC,Barranca De Upia Airport,BAC
BAD,Barksdale Air Force Base,BAD
BAE,Barcelonnette - Saint-Pons Airport,BAE
BAF,Westfield-Barnes Regional Airport,BAF
BAG,Loakan Airport,BAG
BAH,Bahrain International Airport,BAH
BAI,Buenos Aires Airport,BAI
BAJ,Bali Airport,BAJ
BAL,Batman Airport,BAL
BAM,Battle Mountain Airport,BAM
BAN,Basongo Airport,BAN
BAO,Udorn Air Base,BAO
BAP,Baibara Airport,BAP
BAQ,Ernesto Cortissoz International Airport,BAQ
BAR,Qionghai Bo'ao Airport,BAR
BAS,Ballalae Airport,BAS
BAT,Chafei Amsei Airport,BAT
BAU,Bauru Airport,BAU
BAV,Baotou Airport,BAV
BAX,Barnaul Airport,BAX
BAY,MaramureÈ International Airport,BAY
BAZ,Barcelos Airport,BAZ
BBA,Balmaceda Airport,BBA
BBB,Benson Municipal Airport,BBB
BBC,Bay City Municipal Airport,BBC
BBD,Curtis Field,BBD
BBE,Big Bell Airport,BBE
BBG,Butaritari Atoll Airport,BBG
BBH,Barth Airport,BBH
BBI,Biju Patnaik Airport,BBI
BBJ,Bitburg Airport,BBJ
BBK,Kasane Airport,BBK
BBL,Ballera Airport,BBL
BBM,Battambang Airport,BBM
BBN,Bario Airport,BBN
BBO,Berbera Airport,BBO
BBP,Bembridge Airport,BBP
BBQ,Codrington Airport,BBQ
BBR,Baillif Airport,BBR
BBS,Blackbushe Airport,BBS
BBT,BerbÃ©rati Airport,BBT
BBU,BÄneasa International Airport,BBU
BBV,Nero-Mer Airport,BBV
BBW,Broken Bow Municipal Airport,BBW
BBX,Wings Field,BBX
BBY,Bambari Airport,BBY
BBZ,Zambezi Airport,BBZ
